obs_id,site_code,obs_year,obs_value,arable_prop,area,clay1_mean,forest_prop,grassland_prop,k1_mean,limestone_prop,livestock_density,other_prop,precip_mean,rock1_mean,sand1_mean,silt1_mean,slope_mean,soc1_mean,stream_density,twi_mean,urban_prop,water_prop,wetland_prop
241,SJA6005000,2017,1.195,0.279,1255787150.0,19.99,0.49,0.072,54.227,0.0,0.086,0.025,869.341,2.55,67.56,12.449,2.808,7.385,0.001,8.658,0.027,0.016,0.026
242,SJA6005000,2018,0.878,0.279,1255787150.0,19.99,0.49,0.072,54.227,0.0,0.086,0.025,581.164,2.55,67.56,12.449,2.808,7.385,0.001,8.658,0.027,0.016,0.026
243,SJA6005000,2019,1.108,0.279,1255787150.0,19.99,0.49,0.072,54.227,0.0,0.086,0.025,770.088,2.55,67.56,12.449,2.808,7.385,0.001,8.658,0.027,0.016,0.026
244,SJA6005000,2020,1.092,0.279,1255787150.0,19.99,0.49,0.072,54.227,0.0,0.086,0.025,771.131,2.55,67.56,12.449,2.808,7.385,0.001,8.658,0.027,0.016,0.026
245,SJA6127000,2020,7.925,0.535,272736100.0,19.559,0.292,0.068,20.406,0.633,0.077,0.039,775.663,9.469,60.017,20.423,1.426,6.214,0.0,9.946,0.057,0.002,0.007
246,SJA6180000,2016,3.242,0.23,1243763600.0,28.031,0.574,0.042,44.989,0.815,0.067,0.021,806.163,4.032,56.866,15.103,1.298,11.432,0.0,9.748,0.018,0.009,0.107
247,SJA6180000,2017,2.525,0.23,1243763600.0,28.031,0.574,0.042,44.989,0.815,0.067,0.021,853.76,4.032,56.866,15.103,1.298,11.432,0.0,9.748,0.018,0.009,0.107
248,SJA6180000,2018,2.262,0.23,1243763600.0,28.031,0.574,0.042,44.989,0.815,0.067,0.021,562.902,4.032,56.866,15.103,1.298,11.432,0.0,9.748,0.018,0.009,0.107
249,SJA6180000,2019,2.559,0.23,1243763600.0,28.031,0.574,0.042,44.989,0.815,0.067,0.021,793.848,4.032,56.866,15.103,1.298,11.432,0.0,9.748,0.018,0.009,0.107
250,SJA6180000,2020,3.208,0.23,1243763600.0,28.031,0.574,0.042,44.989,0.815,0.067,0.021,832.938,4.032,56.866,15.103,1.298,11.432,0.0,9.748,0.018,0.009,0.107
251,SJA6198000,2017,2.175,0.461,93019775.0,22.816,0.393,0.053,16.573,1.0,0.137,0.016,858.562,5.971,53.006,24.178,1.045,7.957,0.0,10.21,0.023,0.001,0.054
252,SJA6216000,2017,1.035,0.177,164809450.0,21.509,0.56,0.052,24.647,0.0,0.143,0.029,916.456,3.024,60.189,18.302,0.85,9.289,0.0,10.068,0.009,0.005,0.12
253,SJA6231000,2017,1.525,0.325,108221100.0,28.454,0.403,0.048,35.593,1.0,0.159,0.039,823.406,6.452,54.093,17.453,1.072,10.472,0.0,9.749,0.029,0.004,0.153
254,SJA6231000,2018,2.937,0.325,108221100.0,28.454,0.403,0.048,35.593,1.0,0.159,0.039,596.121,6.452,54.093,17.453,1.072,10.472,0.0,9.749,0.029,0.004,0.153
255,SJA6231000,2019,1.4,0.325,108221100.0,28.454,0.403,0.048,35.593,1.0,0.159,0.039,847.433,6.452,54.093,17.453,1.072,10.472,0.0,9.749,0.029,0.004,0.153
256,SJA6231000,2020,1.9,0.325,108221100.0,28.454,0.403,0.048,35.593,1.0,0.159,0.039,863.174,6.452,54.093,17.453,1.072,10.472,0.0,9.749,0.029,0.004,0.153
257,SJA6245000,2017,2.95,0.377,882766500.0,30.601,0.477,0.044,12.837,1.0,0.152,0.017,855.645,3.902,45.897,23.502,0.983,11.195,0.001,10.084,0.026,0.003,0.055
258,SJA6273000,2019,2.0,0.359,149470525.0,28.262,0.356,0.062,29.735,0.217,0.036,0.047,829.4,4.7,54.739,16.999,1.207,10.907,0.001,9.769,0.078,0.008,0.09
259,SJA6331000,2020,1.503,0.088,59201625.0,17.614,0.356,0.139,77.899,0.7,0.0,0.154,811.561,12.046,68.894,13.492,1.654,9.933,0.001,9.457,0.209,0.034,0.02
260,SJA6536000,2019,1.098,0.21,132848025.0,29.116,0.612,0.054,15.403,1.0,0.004,0.005,891.824,7.744,48.892,21.992,1.021,10.659,0.0,9.811,0.014,0.003,0.103
261,SJA6551000,2017,0.888,0.214,547512825.0,24.825,0.553,0.077,44.711,0.119,0.069,0.019,875.682,2.14,61.124,14.051,2.745,9.608,0.001,8.813,0.016,0.006,0.051
262,SJA6721000,2017,3.225,0.462,197803225.0,21.779,0.423,0.055,14.017,1.0,0.217,0.017,850.682,6.139,53.11,25.111,1.15,6.95,0.0,10.134,0.023,0.001,0.018
263,SJA6742000,2016,3.617,0.475,71470425.0,19.545,0.379,0.045,18.187,1.0,0.152,0.017,798.544,6.845,55.538,24.918,1.046,6.946,0.0,10.237,0.021,0.001,0.061
264,SJA6742000,2017,3.175,0.475,71470425.0,19.545,0.379,0.045,18.187,1.0,0.152,0.017,858.882,6.845,55.538,24.918,1.046,6.946,0.0,10.237,0.021,0.001,0.061
265,SJA6742000,2018,3.0,0.475,71470425.0,19.545,0.379,0.045,18.187,1.0,0.152,0.017,565.117,6.845,55.538,24.918,1.046,6.946,0.0,10.237,0.021,0.001,0.061
266,SJA6742000,2019,2.175,0.475,71470425.0,19.545,0.379,0.045,18.187,1.0,0.152,0.017,774.469,6.845,55.538,24.918,1.046,6.946,0.0,10.237,0.021,0.001,0.061
267,SJA6742000,2020,3.85,0.475,71470425.0,19.545,0.379,0.045,18.187,1.0,0.152,0.017,823.636,6.845,55.538,24.918,1.046,6.946,0.0,10.237,0.021,0.001,0.061
268,SJA6880000,2016,2.25,0.154,328692975.0,26.934,0.609,0.046,54.493,0.763,0.023,0.024,835.475,5.563,59.097,13.969,1.488,11.661,0.001,9.815,0.023,0.011,0.133
269,SJA6880000,2017,1.867,0.154,328692975.0,26.934,0.609,0.046,54.493,0.763,0.023,0.024,832.453,5.563,59.097,13.969,1.488,11.661,0.001,9.815,0.023,0.011,0.133
270,SJA6880000,2018,1.952,0.154,328692975.0,26.934,0.609,0.046,54.493,0.763,0.023,0.024,564.928,5.563,59.097,13.969,1.488,11.661,0.001,9.815,0.023,0.011,0.133
271,SJA6880000,2019,2.125,0.154,328692975.0,26.934,0.609,0.046,54.493,0.763,0.023,0.024,789.536,5.563,59.097,13.969,1.488,11.661,0.001,9.815,0.023,0.011,0.133
272,SJA6880000,2020,2.358,0.154,328692975.0,26.934,0.609,0.046,54.493,0.763,0.023,0.024,809.015,5.563,59.097,13.969,1.488,11.661,0.001,9.815,0.023,0.011,0.133
273,SJA6896000,2016,3.75,0.333,635699625.0,24.523,0.424,0.062,28.387,0.831,0.115,0.025,764.072,4.484,55.146,20.332,1.133,9.976,0.0,9.721,0.048,0.006,0.102
274,SJA6896000,2017,2.95,0.333,635699625.0,24.523,0.424,0.062,28.387,0.831,0.115,0.025,873.663,4.484,55.146,20.332,1.133,9.976,0.0,9.721,0.048,0.006,0.102
275,SJA6896000,2018,2.545,0.333,635699625.0,24.523,0.424,0.062,28.387,0.831,0.115,0.025,577.6,4.484,55.146,20.332,1.133,9.976,0.0,9.721,0.048,0.006,0.102
